the_geom,OBJECTID,TREE_ID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
POINT (-97.75370007043014 30.270047869164216),4402,23117,900 W 5TH ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3110856.74092,10071393.8407
POINT (-97.75359741458782 30.27000695402438),4403,23118,900 W 5TH ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3110889.48397,10071379.7157
POINT (-97.75348592507497 30.26996368901443),4404,23119,900 W 5TH ST,Ulmus crassifolia,Cedar Elm,8,23,Good,ROW,,3110925.03475,10071364.8011
POINT (-97.75337614104667 30.269923633577317),4405,23120,900 W 5TH ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3110960.02024,10071351.0409
POINT (-97.75327814431944 30.26988670287403),4406,23121,900 W 5TH ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3110991.25935,10071338.3306
POINT (-97.75206608730555 30.269587635851586),4416,23131,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,14,53,Excellent,ROW,,3111376.30648,10071238.468
POINT (-97.75188918448174 30.269556088664473),4417,23132,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,15,53,Good,ROW,,3111432.40316,10071228.2935
POINT (-97.75185041436468 30.269551380598482),4418,23133,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,13,38,Fair,ROW,,3111444.67872,10071226.8656
POINT (-97.75108469562812 30.269413012322797),4419,23134,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,14,53,Good,ROW,,3111687.5073,10071182.1659
POINT (-97.75017545758121 30.269194559124216),4420,23135,700 W 5TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3111976.30758,10071109.4016
POINT (-97.75007884261893 30.269166782766245),4421,23136,700 W 5TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3112007.0339,10071100.0106
POINT (-97.7499882102353 30.269140991185548),4422,23137,700 W 5TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3112035.85536,10071091.2973
POINT (-97.74967579097658 30.269044220702337),4423,23138,600 W 5TH ST,Carpinus caroliniana,American Hornbeam,10,23,Fair,ROW,,3112135.27249,10071058.4027
POINT (-97.74955176883891 30.269014569377852),4424,23139,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,6,23,Good,ROW,,3112174.66447,10071048.531
POINT (-97.7495025346963 30.2690047038644),4425,23140,600 W 5TH ST,Carpinus caroliniana,American Hornbeam,8,23,Good,ROW,,3112190.28615,10071045.305
POINT (-97.74930680142717 30.26894681573826),4426,23141,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,7,23,Good,ROW,,3112252.54883,10071025.6925
POINT (-97.74906597928636 30.26886448941978),4427,23142,600 W 5TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3112329.24815,10070997.5252
POINT (-97.74900244530627 30.268845262273523),4428,23143,600 W 5TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3112349.46202,10070991.0003
POINT (-97.7489577578531 30.268835956564995),4429,23144,600 W 5TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3112363.64408,10070987.9445
POINT (-97.7494624272065 30.267158356231175),4430,23145,300 NUECES ST,Quercus shumardii,Shumard Oak,5,23,Good,ROW,,3112218.54004,10070374.2824
POINT (-97.74944525320157 30.26720523386293),4431,23146,300 NUECES ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3112223.5643,10070391.4526
POINT (-97.74936628270451 30.267403836272692),4432,23147,300 NUECES ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3112246.81032,10070464.2418
POINT (-97.74934356949215 30.267460985412878),4433,23148,300 NUECES ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3112253.496,10070485.1873
POINT (-97.74932586195428 30.267519170322732),4434,23149,300 NUECES ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3112258.5931,10070506.4727
POINT (-97.74930827006013 30.267577383730853),4435,23150,300 NUECES ST,Quercus shumardii,Shumard Oak,5,23,Fair,ROW,,3112263.65346,10070527.7676
POINT (-97.74928676296993 30.26763347167196),4436,23151,300 NUECES ST,Quercus shumardii,Shumard Oak,5,23,Good,ROW,,3112269.96743,10070548.3184
POINT (-97.75027840288885 30.269224532989906),4437,23152,700 W 5TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3111943.56486,10071119.5453
POINT (-97.75039198258732 30.2692566548561),4438,23153,700 W 5TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3111907.44781,10071130.3921
POINT (-97.75114563424387 30.269426384074652),4439,23154,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,12,38,Good,ROW,,3111668.1622,10071186.5813
POINT (-97.75125262463227 30.269278862715247),4440,23155,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,14,53,Good,ROW,,3111635.64127,10071132.1598
POINT (-97.75126492661441 30.26944860160174),4441,23156,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,12,53,Good,ROW,,3111630.32599,10071193.7853
POINT (-97.75132539253723 30.269461497232147),4442,23157,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,14,53,Good,ROW,,3111611.1341,10071198.031
POINT (-97.75148134178026 30.269324304161948),4443,23158,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,13,53,Good,ROW,,3111563.07448,10071147.0062
POINT (-97.75172904156429 30.269369738745347),4444,23159,800 W 5TH ST,Platanus mexicana,Mexican Sycamore,14,53,Good,ROW,,3111484.5169,10071161.7112
POINT (-97.75377914944791 30.268756213193473),4445,23160,300 BOWIE ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3110842.67599,10070923.6261
POINT (-97.753675991286 30.268960180146482),4446,23161,300 BOWIE ST,Quercus shumardii,Shumard Oak,5,23,Good,ROW,,3110873.51287,10070998.5419
POINT (-97.75364251657243 30.269028541480576),4447,23162,300 BOWIE ST,Quercus shumardii,Shumard Oak,5,23,Good,ROW,,3110883.50104,10071023.6426
POINT (-97.75352730267092 30.269276020046245),4448,23163,300 BOWIE ST,Quercus shumardii,Shumard Oak,9,23,Good,ROW,,3110917.77558,10071114.4672
POINT (-97.75349693998501 30.269332211892728),4449,23164,300 BOWIE ST,Quercus shumardii,Shumard Oak,9,23,Good,ROW,,3110926.88415,10071135.1204
POINT (-97.7534702142477 30.269390519855914),4450,23165,300 BOWIE ST,Quercus shumardii,Shumard Oak,11,23,Good,ROW,,3110934.82705,10071156.5164
POINT (-97.7534121561223 30.269514304140284),4451,23166,300 BOWIE ST,Quercus shumardii,Shumard Oak,10,23,Good,ROW,,3110952.10622,10071201.9484
POINT (-97.75337977219743 30.269570697995423),4452,23167,300 BOWIE ST,Quercus shumardii,Shumard Oak,8,23,Good,ROW,,3110961.85095,10071222.6898
POINT (-97.75335022630314 30.269626972128556),4453,23168,300 BOWIE ST,Quercus shumardii,Shumard Oak,11,38,Good,ROW,,3110970.701,10071243.3669
POINT (-97.75309130031094 30.270047416268316),4454,23169,500 BOWIE ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3111048.87144,10071398.1327
POINT (-97.753067105524 30.270090863965297),4455,23170,500 BOWIE ST,Ulmus crassifolia,Cedar Elm,8,23,Fair,ROW,,3111056.14079,10071414.1071
POINT (-97.75304556972213 30.270137080342355),4456,23171,500 BOWIE ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111062.5476,10071431.0686
POINT (-97.75294765340912 30.27035674928318),4457,23172,500 BOWIE ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3111091.59675,10071511.6554
POINT (-97.75096971857324 30.269466848680736),4460,23175,500 WEST AVE,Ulmus crassifolia,Cedar Elm,7,23,Fair,ROW,,3111723.33958,10071202.5829
POINT (-97.75093195658023 30.269557482927752),4461,23176,500 WEST AVE,Ulmus crassifolia,Cedar Elm,7,23,Fair,ROW,,3111734.49212,10071235.8135
POINT (-97.75275823146062 30.270794999730505),4462,23177,500 BOWIE ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3111147.68063,10071672.3867
POINT (-97.74711556658838 30.27992061985223),4471,23186,1500 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,23,Good,ROW,,3112851.32683,10075031.7468
POINT (-97.74710172811004 30.27995113927849),4472,23187,1500 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,23,Good,ROW,,3112855.43574,10075042.9449
POINT (-97.74708670033779 30.27998460430633),4473,23188,1500 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Fair,ROW,,3112859.89505,10075055.2228
POINT (-97.74707740641252 30.280031415178225),4474,23189,1500 WEST AVE,Ginkgo biloba,Maidenhair Tree,21,38,Fair,ROW,,3112862.43212,10075072.311
POINT (-97.74700808677562 30.28021444116894),4475,23190,800 W 16TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),4,23,Poor,ROW,,3112882.75951,10075139.3663
POINT (-97.74696639722704 30.28021703227767),4476,23191,1600 WEST AVE,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3112895.89334,10075140.6144
POINT (-97.74700022366225 30.28023559216274),4477,23192,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),6,23,Fair,ROW,,3112885.062,10075147.1144
POINT (-97.74699040704391 30.2802571684354),4478,23193,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),25,23,Good,ROW,,3112887.97734,10075155.0313
POINT (-97.74698415205796 30.280279919250955),4479,23194,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),3,8,Poor,ROW,,3112889.75884,10075163.3492
POINT (-97.74696919274783 30.280298330988614),4480,23195,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),12,23,Good,ROW,,3112894.32379,10075170.1534
POINT (-97.74693211189478 30.280309735327688),4481,23196,1600 WEST AVE,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3112905.92875,10075174.572
POINT (-97.74696487539457 30.28031492363044),4482,23197,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),6,8,Fair,ROW,,3112895.5459,10075176.218
POINT (-97.74695800254835 30.280329070784337),4483,23198,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),6,23,Good,ROW,,3112897.59511,10075181.4122
POINT (-97.74694963940384 30.280346998446575),4484,23199,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,23,Fair,ROW,,3112900.08264,10075187.9919
POINT (-97.7469453155362 30.280358246389405),4485,23200,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),11,23,Good,ROW,,3112901.35199,10075192.1133
POINT (-97.74693820274999 30.280375023536095),4486,23201,1600 WEST AVE,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),25,23,Good,ROW,,3112903.45468,10075198.2655
POINT (-97.74690797160758 30.280381990342697),4487,23202,1600 WEST AVE,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3112912.93563,10075201.0204
POINT (-97.74684250628708 30.28055866126046),4488,23203,1600 WEST AVE,Quercus virginiana,Southern Live Oak,23,38,Fair,ROW,,3112932.10029,10075265.7368
POINT (-97.7468290010895 30.280588453785466),4489,23204,1600 WEST AVE,Pinus pinea,Italian Stone Pine,13,38,Fair,ROW,,3112936.11012,10075276.6682
POINT (-97.74681611908547 30.280615901972304),4490,23205,1600 WEST AVE,Pinus pinea,Italian Stone Pine,12,38,Fair,ROW,,3112939.94312,10075286.7427
